,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
217,Ellington,Feb,31,4,0,35,29,2,1,1
218,Enfield,Feb,192,35,1,228,206,10,21,10
219,Essex,Feb,11,0,0,11,3,1,1,1
220,Fairfield,Feb,169,19,0,188,74,2,7,5
221,Farmington,Feb,33,1,0,34,25,4,10,10
222,Franklin,Feb,1,1,0,2,0,0,0,0
223,Glastonbury,Feb,39,2,0,41,24,2,0,0
224,Goshen,Feb,0,0,0,0,0,0,0,0
225,Granby,Feb,22,2,0,24,13,1,1,0
226,Greenwich,Feb,191,25,1,217,31,1,8,4
227,Griswold,Feb,39,12,0,51,40,3,11,6
228,Groton,Feb,450,43,0,493,163,12,17,6
229,Guilford,Feb,35,12,0,47,16,3,4,1
230,Haddam,Feb,14,0,0,14,4,0,2,1
231,Hamden,Feb,315,56,0,371,111,22,37,17
232,Hampton,Feb,10,5,0,15,6,1,0,0
233,Hartford,Feb,2405,627,8,3040,1847,166,224,97
234,Hartland,Feb,2,0,0,2,2,0,0,0
235,Harwinton,Feb,4,2,0,6,4,2,10,3
236,Hebron,Feb,11,2,0,13,6,0,1,0
237,Kent,Feb,7,1,0,8,7,0,1,1
238,Killingly,Feb,135,38,0,173,127,7,13,5
239,Killingworth,Feb,7,0,0,7,2,0,0,0
240,Lebanon,Feb,11,6,0,17,14,1,0,0
241,Ledyard,Feb,94,12,0,106,57,9,12,8
242,Lisbon,Feb,9,3,0,12,11,0,0,0
243,Litchfield,Feb,14,4,0,18,8,1,2,0
244,Lyme,Feb,5,3,0,8,4,0,0,0
245,Madison,Feb,67,9,0,76,24,8,1,0
246,Manchester,Feb,393,93,1,487,172,29,39,26
247,Mansfield,Feb,52,9,0,61,36,7,0,0
248,Marlborough,Feb,6,1,0,7,7,0,0,0
249,Meriden,Feb,536,133,0,669,345,30,59,33
250,Middlebury,Feb,8,0,0,8,2,0,2,0
251,Middlefield,Feb,10,4,0,14,11,0,0,0
252,Middletown,Feb,323,35,0,358,103,37,31,21
253,Milford,Feb,163,18,0,181,71,18,19,10
254,Monroe,Feb,32,5,0,37,21,5,2,1
255,Montville,Feb,90,16,0,106,55,8,14,8
256,Morris,Feb,2,2,0,4,3,0,0,0
257,Naugatuck,Feb,224,27,1,252,141,17,18,13
258,New Britain,Feb,900,230,1,1131,262,35,101,41
259,New Canaan,Feb,40,2,0,42,16,2,0,0
260,New Fairfield,Feb,42,1,1,44,35,1,5,2
261,New Hartford,Feb,9,6,0,15,11,0,2,0
262,New Haven,Feb,3944,760,1,4705,1902,181,262,113
263,New London,Feb,1125,101,1,1227,121,42,42,17
264,New Milford,Feb,140,7,0,147,95,11,4,3
265,Newington,Feb,57,22,0,79,59,9,1,1
266,Newtown,Feb,70,9,0,79,58,5,15,7
267,Norfolk,Feb,4,1,0,5,5,0,5,5
268,North Branford,Feb,29,4,0,33,11,5,6,4
269,North Canaan,Feb,20,1,0,21,16,3,4,3
270,North Haven,Feb,52,7,0,59,15,2,2,1
271,North Stonington,Feb,18,4,0,22,18,1,1,1
272,Norwalk,Feb,1754,132,1,1887,173,17,30,9
273,Norwich,Feb,432,145,2,579,123,39,38,22
274,Old Lyme,Feb,19,2,0,21,6,0,1,1
275,Old Saybrook,Feb,46,5,0,51,16,0,1,1
276,Orange,Feb,24,3,0,27,12,2,0,0
277,Oxford,Feb,38,5,0,43,33,4,1,1
278,Plainfield,Feb,88,20,5,113,45,7,4,3
279,Plainville,Feb,95,10,0,105,37,4,4,2
