,Name,Designation,Dateestablished,Land area(square miles),Population(in 2010)[1],Population(in 2020)[1],Change,Form ofgovernment,County,Council of Governments,Native Americanname
82,Middletown,City,1651,40.9,47648,47717,+0.1%,Mayor-council,Middlesex County,Lower CT River,Mattabeset
83,Milford,City,1639,22.56,52759,52044,−1.4%,Mayor-council,New Haven County,South Central,Wepawaug
84,Monroe,Town,1823,26.13,19479,18825,−3.4%,Town meeting,Fairfield County,CT Metropolitan,
85,Montville,Town,1786,42.02,19571,18387,−6.0%,Mayor-council,New London County,Southeastern CT,
86,Morris,Town,1859,17.19,2388,2256,−5.5%,Town meeting,Litchfield County,Northwest Hills,
87,Naugatuck,Borough,1844,16.39,31862,31519,−1.1%,Mayor-council,New Haven County,Naugatuck Valley,
88,New Britain,City,1850,13.34,73206,74135,+1.3%,Mayor-council,Hartford County,Capitol Region,
89,New Canaan,Town,1801,22.13,19738,20622,+4.5%,Mayor-council,Fairfield County,Western CT,
90,New Fairfield,Town,1740,20.46,13881,13579,−2.2%,Town meeting,Fairfield County,Western CT,
91,New Hartford,Town,1738,37.03,6970,6658,−4.5%,Town meeting,Litchfield County,Northwest Hills,
92,New Haven,City,1638,18.85,129779,134023,+3.3%,Mayor-council,New Haven County,South Central,Quinnipiac
93,New London,City,1646,5.54,27620,27367,−0.9%,Mayor-council,New London County,Southeastern CT,Nameaug
94,New Milford,Town,1712,61.59,28142,28115,−0.1%,Mayor-council,Litchfield County,Western CT,Weantinogue
95,Newington,Town,1871,13.18,30562,30536,−0.1%,Council-manager,Hartford County,Capitol Region,
96,Newtown,Town,1711,57.76,27560,27173,−1.4%,Town meeting,Fairfield County,Western CT,Quonapague
97,Norfolk,Town,1758,45.31,1709,1588,−7.1%,Town meeting,Litchfield County,Northwest Hills,
98,North Branford,Town,1831,24.92,14407,13544,−6.0%,Council-manager,New Haven County,South Central,
99,North Canaan,Town,1858,19.45,3315,3211,−3.1%,Town meeting,Litchfield County,Northwest Hills,
100,North Haven,Town,1786,20.77,24093,24253,+0.7%,Town meeting,New Haven County,South Central,
101,North Stonington,Town,1807,54.31,5297,5149,−2.8%,Town meeting,New London County,Southeastern CT,
102,Norwalk,City,1651,22.81,85603,91184,+6.5%,Mayor-council,Fairfield County,Western CT,Naramauke
