,Municipality,Month,FTA Warrants,VOP Warrants,OTI Warrants,Total Warrants,Warrants with LEA,Issued Warrants,Served Warrants  For Month,Warrants Foreign Served
47,Ellington,April,40,4,0,44,26,5,8,4
48,Enfield,April,174,31,1,206,148,16,29,21
49,Essex,April,13,2,0,15,8,1,0,0
50,Fairfield,April,152,16,0,168,67,0,10,7
51,Farmington,April,33,4,0,37,19,2,8,5
52,Franklin,April,4,1,0,5,2,0,0,0
53,Glastonbury,April,48,2,0,50,26,1,3,2
54,Goshen,April,0,2,0,2,0,2,0,0
55,Granby,April,14,1,0,15,12,2,2,0
56,Greenwich,April,219,21,0,240,40,5,9,6
57,Griswold,April,55,8,1,64,48,4,10,3
58,Groton,April,413,35,0,448,161,12,24,14
59,Guilford,April,45,7,0,52,18,0,16,14
60,Haddam,April,14,0,0,14,2,2,0,0
61,Hamden,April,321,38,0,359,105,18,19,10
62,Hampton,April,5,0,0,5,3,0,0,0
63,Hartford,April,2500,549,11,3060,1010,175,260,125
64,Hartland,April,2,2,0,4,4,2,1,1
65,Harwinton,April,4,0,0,4,4,1,0,0
66,Hebron,April,8,1,0,9,9,0,4,2
67,Kent,April,5,1,0,6,5,1,2,1
68,Killingly,April,136,34,1,171,140,6,20,8
69,Killingworth,April,9,2,0,11,3,0,0,0
70,Lebanon,April,18,7,0,25,24,6,1,1
71,Ledyard,April,79,12,0,91,56,4,5,4
72,Lisbon,April,13,4,0,17,9,2,2,0
73,Litchfield,April,14,3,0,17,10,1,0,0
74,Lyme,April,4,3,0,7,2,0,0,0
75,Madison,April,62,3,0,65,24,2,3,1
76,Manchester,April,384,80,2,466,172,34,39,16
77,Mansfield,April,44,7,0,51,30,2,4,1
78,Marlborough,April,9,1,0,10,10,1,3,1
79,Meriden,April,514,126,0,640,311,52,82,35
80,Middlebury,April,5,0,0,5,2,0,1,0
81,Middlefield,April,9,3,0,12,5,0,0,0
82,Middletown,April,325,43,0,368,86,24,32,19
83,Milford,April,150,21,0,171,65,17,14,7
84,Monroe,April,30,4,0,34,21,0,2,1
85,Montville,April,92,15,0,107,67,4,11,7
86,Morris,April,2,2,0,4,3,0,1,0
87,Naugatuck,April,173,19,1,193,118,14,20,9
88,New Britain,April,887,213,2,1102,223,56,124,49
89,New Canaan,April,35,2,0,37,12,0,2,0
90,New Fairfield,April,26,3,0,29,23,1,5,4
91,New Hartford,April,15,4,0,19,12,5,1,0
92,New Haven,April,3835,558,1,4394,1506,201,267,106
93,New London,April,966,104,1,1071,112,31,64,36
94,New Milford,April,119,16,0,135,89,13,10,2
95,Newington,April,56,11,0,67,54,1,7,4
96,Newtown,April,71,5,0,76,57,4,6,3
97,Norfolk,April,10,1,0,11,8,0,1,0
98,North Branford,April,25,2,0,27,9,4,4,1
99,North Canaan,April,13,1,0,14,13,3,1,0
100,North Haven,April,50,7,0,57,15,5,1,1
101,North Stonington,April,16,3,0,19,18,0,3,2
102,Norwalk,April,1725,129,0,1854,184,45,36,15
103,Norwich,April,429,125,2,556,160,23,37,19
104,Old Lyme,April,21,3,0,24,4,4,1,1
105,Old Saybrook,April,49,2,0,51,7,1,3,1
106,Orange,April,23,2,0,25,17,1,4,4
107,Oxford,April,34,10,0,44,27,3,2,0
108,Plainfield,April,93,21,7,121,38,12,10,9
109,Plainville,April,91,14,0,105,29,6,8,7
110,Plymouth,April,54,7,0,61,19,2,5,4
111,Pomfret,April,9,7,0,16,7,0,1,1
112,Portland,April,30,8,0,38,15,1,1,1
113,Preston,April,12,4,0,16,12,1,4,3
114,Prospect,April,16,1,0,17,12,2,1,0
115,Putnam,April,91,28,0,119,64,8,10,7
116,Redding,April,20,2,0,22,12,2,0,0
117,Ridgefield,April,45,6,0,51,23,2,4,4
118,Rocky Hill,April,41,3,0,44,17,1,4,3
119,Roxbury,April,0,0,0,0,0,0,0,0
120,Salem,April,9,0,0,9,8,1,2,2
121,Salisbury,April,6,4,0,10,10,1,0,0
122,Scotland,April,2,0,0,2,1,0,5,2
123,Seymour,April,54,10,0,64,50,1,9,7
124,Sharon,April,4,1,0,5,5,0,1,0
125,Shelton,April,122,22,0,144,40,9,8,5
126,Sherman,April,5,2,0,7,7,0,0,0
127,Simsbury,April,24,7,0,31,20,0,4,2
128,Somers,April,18,5,1,24,14,4,10,6
129,South Windsor,April,43,10,2,55,26,5,4,3
130,Southbury,April,24,1,0,25,13,8,2,2
131,Southington,April,105,8,1,114,73,8,16,5
132,Sprague,April,12,13,1,26,16,1,2,1
133,Stafford,April,58,10,1,69,55,2,6,2
134,Stamford,April,2456,262,2,2720,466,37,28,10
135,Sterling,April,25,4,3,32,19,2,1,0
136,Stonington,April,77,10,0,87,44,4,6,2
137,Stratford,April,332,60,0,392,61,22,48,33
138,Suffield,April,22,5,0,27,20,1,2,0
139,Thomaston,April,25,4,0,29,10,0,5,3
140,Thompson,April,66,22,4,92,46,3,6,2
141,Tolland,April,32,5,0,37,27,0,4,3
142,Torrington,April,222,25,1,248,179,25,36,18
143,Trumbull,April,65,4,0,69,35,2,2,0
144,Union,April,2,0,0,2,2,0,0,0
145,Vernon,April,155,30,1,186,104,7,14,10
146,Voluntown,April,7,3,0,10,9,0,1,1
147,Wallingford,April,104,27,1,132,30,14,16,10
148,Warren,April,0,0,0,0,0,0,0,0
149,Washington,April,8,0,0,8,8,0,0,0
150,Waterbury,April,2154,240,5,2399,1351,127,197,66
151,Waterford,April,44,4,0,48,15,3,7,5
152,Watertown,April,43,16,0,59,48,8,8,3
153,West Hartford,April,109,10,0,119,61,5,5,3
154,West Haven,April,656,53,0,709,198,50,67,30
155,Westbrook,April,37,4,0,41,24,0,3,3
156,Weston,April,16,0,0,16,9,2,0,0
157,Westport,April,51,10,0,61,50,3,0,0
158,Wethersfield,April,46,7,0,53,40,3,10,5
159,Willington,April,25,4,0,29,26,1,0,0
160,Wilton,April,22,1,0,23,12,0,3,3
161,Winchester,April,55,5,1,61,29,6,6,4
162,Windham,April,643,150,23,816,252,25,25,19
163,Windsor,April,133,17,2,152,74,16,7,2
164,Windsor Locks,April,53,4,0,57,36,0,9,5
165,Wolcott,April,35,4,0,39,13,3,6,4
166,Woodbridge,April,12,2,0,14,6,0,1,1
167,Woodbury,April,22,5,0,27,24,0,1,0
168,Woodstock,April,25,4,2,31,18,6,0,0
169,Grand Total,April,31390,4599,104,36093,11847,1622,2411,1162
170,Andover,August,2,0,0,2,2,0,2,1
171,Ansonia,August,217,26,0,243,97,6,7,3
172,Ashford,August,21,2,1,24,19,2,0,0
173,Avon,August,12,3,0,15,3,0,0,0
174,Barkhamsted,August,8,0,0,8,6,0,1,0
175,Beacon Falls,August,22,7,0,29,26,1,2,1
176,Berlin,August,33,10,1,44,37,5,1,0
177,Bethany,August,22,0,0,22,11,2,3,2
178,Bethel,August,91,9,1,101,35,5,2,1
179,Bethlehem,August,6,0,0,6,4,0,0,0
180,Bloomfield,August,97,13,0,110,49,6,5,3
181,Bolton,August,7,1,0,8,8,2,0,0
182,Bozrah,August,10,0,0,10,10,0,0,0
183,Branford,August,179,11,0,190,72,7,8,2
184,Bridgeport,August,3797,548,1,4346,648,160,159,70
185,Bridgewater,August,4,1,0,5,4,0,0,0
186,Bristol,August,418,42,1,461,169,34,54,33
187,Brookfield,August,40,1,0,41,29,1,2,1
188,Brooklyn,August,39,8,1,48,25,5,3,2
189,Burlington,August,7,0,0,7,2,0,4,2
190,Canaan,August,2,0,0,2,2,0,1,1
191,Canterbury,August,9,3,0,12,9,1,3,1
192,Canton,August,13,1,0,14,11,0,3,0
193,Chaplin,August,5,3,2,10,9,0,1,0
194,Cheshire,August,38,0,0,38,24,1,6,5
195,Chester,August,10,0,0,10,3,5,0,0
196,Clinton,August,51,4,0,55,22,5,3,1
197,Colchester,August,25,5,0,30,30,3,3,1
198,Colebrook,August,1,0,0,1,1,0,0,0
199,Columbia,August,10,3,0,13,13,0,6,4
200,Cornwall,August,0,0,0,0,0,0,0,0
201,Coventry,August,28,5,0,33,21,0,0,0
202,Cromwell,August,37,1,0,38,11,0,6,4
203,Danbury,August,1828,162,5,1995,691,27,54,12
204,Darien,August,31,2,0,33,10,1,0,0
205,Deep River,August,22,3,0,25,13,0,0,0
206,Derby,August,147,24,0,171,134,5,15,6
207,Durham,August,11,1,0,12,2,0,1,1
208,East Granby,August,8,2,0,10,9,0,0,0
209,East Haddam,August,16,1,0,17,17,2,7,6
210,East Hampton,August,31,3,0,34,18,3,14,12
211,East Hartford,August,527,94,8,629,94,48,43,34
212,East Haven,August,219,33,0,252,42,10,19,10
213,East Lyme,August,47,8,0,55,49,3,7,5
214,East Windsor,August,49,11,1,61,35,4,1,0
215,Eastford,August,6,2,0,8,5,1,0,0
216,Easton,August,13,0,0,13,12,0,2,2
217,Ellington,August,34,6,0,40,27,3,6,3
218,Enfield,August,183,26,2,211,167,14,25,16
219,Essex,August,16,2,0,18,9,0,0,0
220,Fairfield,August,156,16,0,172,68,4,8,2
221,Farmington,August,35,4,1,40,20,3,2,2
222,Franklin,August,6,1,0,7,3,1,1,1
223,Glastonbury,August,43,2,0,45,25,6,5,4
224,Goshen,August,0,0,0,0,0,0,0,0
225,Granby,August,14,1,0,15,13,1,3,2
226,Greenwich,August,218,22,0,240,39,3,6,0
227,Griswold,August,51,8,0,59,44,4,6,2
228,Groton,August,405,43,0,448,164,13,11,6
229,Guilford,August,45,7,0,52,18,4,1,1
230,Haddam,August,14,1,0,15,2,3,1,1
231,Hamden,August,323,33,1,357,111,19,28,17
232,Hampton,August,7,0,0,7,5,1,0,0
233,Hartford,August,2502,592,14,3108,1024,216,214,103
234,Hartland,August,2,0,0,2,2,0,0,0
235,Harwinton,August,6,0,0,6,4,0,4,2
236,Hebron,August,9,2,0,11,11,1,0,0
237,Kent,August,5,1,0,6,5,0,1,1
238,Killingly,August,152,37,0,189,142,23,16,6
239,Killingworth,August,9,2,0,11,3,7,0,0
240,Lebanon,August,14,7,0,21,21,0,1,0
241,Ledyard,August,85,12,0,97,55,4,4,4
242,Lisbon,August,10,4,0,14,7,0,1,0
243,Litchfield,August,14,3,0,17,10,0,0,0
244,Lyme,August,4,4,0,8,5,1,0,0
245,Madison,August,59,3,0,62,24,3,2,2
246,Manchester,August,408,85,3,496,173,36,28,10
247,Mansfield,August,41,7,0,48,35,1,1,0
248,Marlborough,August,7,1,0,8,8,0,2,2
249,Meriden,August,513,112,0,625,299,48,61,31
250,Middlebury,August,7,0,0,7,2,0,0,0
251,Middlefield,August,13,1,0,14,5,1,0,0
252,Middletown,August,336,45,0,381,94,39,43,24
253,Milford,August,144,18,0,162,67,4,13,8
254,Monroe,August,28,4,0,32,19,1,8,7
255,Montville,August,91,16,0,107,63,9,13,8
256,Morris,August,2,2,0,4,3,0,0,0
257,Naugatuck,August,175,17,1,193,120,10,22,8
258,New Britain,August,942,218,1,1161,242,92,86,39
259,New Canaan,August,35,2,0,37,11,0,0,0
260,New Fairfield,August,33,4,0,37,31,5,4,3
261,New Hartford,August,11,4,1,16,12,1,2,1
262,New Haven,August,3791,565,1,4357,1532,183,206,84
263,New London,August,996,102,1,1099,111,31,45,30
264,New Milford,August,121,19,0,140,96,14,9,6
265,Newington,August,52,15,0,67,52,3,7,2
266,Newtown,August,85,4,0,89,60,9,3,2
267,Norfolk,August,5,1,0,6,6,0,0,0
268,North Branford,August,27,2,0,29,8,3,0,0
269,North Canaan,August,17,1,0,18,18,0,0,0
270,North Haven,August,42,5,0,47,15,0,3,2
271,North Stonington,August,14,4,0,18,17,0,1,0
272,Norwalk,August,1712,127,0,1839,181,28,41,21
273,Norwich,August,460,128,3,591,156,41,33,10
274,Old Lyme,August,19,1,0,20,3,1,0,0
275,Old Saybrook,August,49,2,0,51,9,0,1,1
276,Orange,August,27,4,0,31,17,3,0,0
277,Oxford,August,34,9,0,43,29,3,1,0
278,Plainfield,August,97,18,5,120,40,4,7,3
279,Plainville,August,88,10,0,98,44,5,4,3
280,Plymouth,August,56,7,0,63,27,1,8,5
281,Pomfret,August,10,7,0,17,7,1,1,1
282,Portland,August,27,8,0,35,20,2,1,1
283,Preston,August,12,3,0,15,13,0,0,0
284,Prospect,August,19,0,0,19,14,2,0,0
285,Putnam,August,85,31,0,116,64,7,12,7
286,Redding,August,20,2,0,22,15,0,0,0
287,Ridgefield,August,40,7,0,47,24,0,0,0
288,Rocky Hill,August,45,3,0,48,16,8,7,6
289,Roxbury,August,0,0,0,0,0,0,0,0
290,Salem,August,7,1,0,8,8,0,4,1
291,Salisbury,August,6,4,0,10,10,0,0,0
292,Scotland,August,3,0,0,3,2,1,0,0
293,Seymour,August,56,16,0,72,59,2,5,3
294,Sharon,August,4,1,0,5,5,0,0,0
295,Shelton,August,135,22,0,157,48,11,19,16
296,Sherman,August,3,2,0,5,5,0,0,0
297,Simsbury,August,25,3,0,28,18,0,2,2
298,Somers,August,16,3,1,20,14,1,1,0
299,South Windsor,August,43,9,2,54,27,4,3,3
300,Southbury,August,14,2,0,16,13,0,4,1
301,Southington,August,105,5,0,110,70,9,11,4
302,Sprague,August,19,13,1,33,18,6,3,1
303,Stafford,August,63,13,1,77,61,9,5,2
304,Stamford,August,2467,278,2,2747,471,36,41,11
305,Sterling,August,28,2,3,33,17,4,3,1
306,Stonington,August,76,10,0,86,41,4,5,3
307,Stratford,August,322,68,0,390,59,25,28,14
308,Suffield,August,18,5,0,23,19,1,5,5
309,Thomaston,August,19,2,0,21,9,0,3,0
310,Thompson,August,66,21,4,91,44,3,4,0
311,Tolland,August,33,2,0,35,26,1,2,1
312,Torrington,August,234,33,1,268,177,29,44,18
313,Trumbull,August,67,2,0,69,31,5,4,2
314,Union,August,2,0,0,2,2,0,0,0
315,Vernon,August,154,30,1,185,116,13,21,15
316,Voluntown,August,8,4,0,12,9,2,0,0
317,Wallingford,August,89,17,1,107,25,7,12,8
318,Warren,August,1,0,0,1,0,1,1,0
319,Washington,August,10,0,0,10,10,0,0,0
320,Waterbury,August,2134,232,6,2372,1380,157,144,61
321,Waterford,August,46,2,0,48,13,4,12,10
322,Watertown,August,43,9,0,52,39,7,16,9
323,West Hartford,August,104,12,0,116,60,6,11,6
324,West Haven,August,675,59,0,734,202,43,26,13
325,Westbrook,August,38,4,0,42,24,2,3,2
326,Weston,August,15,0,0,15,9,0,0,0
327,Westport,August,55,7,0,62,48,1,0,0
328,Wethersfield,August,44,3,0,47,37,2,2,2
329,Willington,August,25,4,0,29,25,1,6,1
330,Wilton,August,22,0,0,22,12,0,1,1
331,Winchester,August,60,4,1,65,25,12,20,10
332,Windham,August,652,141,21,814,260,20,23,13
333,Windsor,August,131,19,3,153,68,15,21,12
334,Windsor Locks,August,54,7,0,61,43,3,5,4
335,Wolcott,August,45,5,0,50,17,14,2,2
336,Woodbridge,August,11,2,0,13,5,1,2,2
337,Woodbury,August,25,5,0,30,24,1,3,1
338,Woodstock,August,19,3,2,24,16,1,2,2
339,Grand Total,August,31664,4599,106,36369,12070,1749,1996,988
340,Andover,December,2,0,0,2,2,0,1,0
341,Ansonia,December,219,28,0,247,96,5,30,20
342,Ashford,December,27,3,1,31,23,3,0,0
343,Avon,December,13,1,0,14,3,1,0,0
344,Barkhamsted,December,8,0,0,8,5,0,1,0
345,Beacon Falls,December,21,7,0,28,23,0,0,0
346,Berlin,December,31,14,0,45,42,4,7,6
347,Bethany,December,21,0,0,21,11,0,0,0
348,Bethel,December,89,10,1,100,30,4,17,9
349,Bethlehem,December,7,0,0,7,4,0,0,0
350,Bloomfield,December,109,15,0,124,62,11,8,3
351,Bolton,December,5,2,0,7,7,0,0,0
352,Bozrah,December,11,0,0,11,11,0,1,0
353,Branford,December,180,20,0,200,73,10,7,2
354,Bridgeport,December,3892,567,1,4460,689,165,210,96
355,Bridgewater,December,4,1,0,5,4,0,0,0
356,Bristol,December,439,36,2,477,179,26,56,23
357,Brookfield,December,41,1,0,42,35,4,3,1
358,Brooklyn,December,39,7,1,47,28,3,2,1
359,Burlington,December,7,0,0,7,2,0,1,1
360,Canaan,December,2,0,0,2,2,0,0,0
361,Canterbury,December,7,4,0,11,8,0,4,3
362,Canton,December,15,1,0,16,11,1,0,0
363,Chaplin,December,5,3,2,10,9,0,0,0
364,Cheshire,December,39,1,0,40,32,5,0,0
365,Chester,December,10,0,0,10,4,3,0,0
366,Clinton,December,43,8,0,51,28,2,2,0
367,Colchester,December,36,4,0,40,39,3,7,3
368,Colebrook,December,1,0,0,1,1,0,0,0
369,Columbia,December,8,2,0,10,10,0,0,0
370,Cornwall,December,0,0,0,0,0,0,0,0
371,Coventry,December,29,5,0,34,22,1,2,1
372,Cromwell,December,41,0,0,41,11,2,3,1
373,Danbury,December,1851,157,4,2012,707,44,31,8
374,Darien,December,31,2,0,33,10,0,0,0
375,Deep River,December,24,3,0,27,17,2,0,0
376,Derby,December,140,25,0,165,127,7,11,5
377,Durham,December,12,1,0,13,2,1,1,1
378,East Granby,December,8,2,0,10,9,0,0,0
379,East Haddam,December,18,1,0,19,19,1,2,2
380,East Hampton,December,37,4,0,41,18,4,2,1
381,East Hartford,December,513,96,9,618,144,34,48,23
382,East Haven,December,225,34,0,259,49,19,14,7
383,East Lyme,December,51,11,0,62,51,9,6,5
384,East Windsor,December,51,14,1,66,37,1,3,3
385,Eastford,December,7,2,0,9,6,1,0,0
386,Easton,December,14,1,0,15,12,1,0,0
387,Ellington,December,38,5,0,43,30,5,4,0
388,Enfield,December,199,32,2,233,185,15,11,7
389,Essex,December,15,1,0,16,7,1,0,0
390,Fairfield,December,157,17,0,174,65,9,7,5
391,Farmington,December,30,5,1,36,20,2,2,1
392,Franklin,December,5,1,0,6,3,0,0,0
393,Glastonbury,December,37,2,0,39,22,3,3,2
394,Goshen,December,0,2,0,2,0,0,0,0
395,Granby,December,12,2,0,14,11,0,4,1
396,Greenwich,December,205,22,0,227,38,4,4,0
397,Griswold,December,55,11,0,66,44,2,4,1
398,Groton,December,409,44,0,453,168,8,23,19
399,Guilford,December,48,7,0,55,18,0,10,7
400,Haddam,December,19,0,0,19,2,1,1,0
401,Hamden,December,322,35,0,357,117,10,13,9
402,Hampton,December,7,0,0,7,4,1,0,0
403,Hartford,December,2480,584,14,3078,2068,171,183,92
404,Hartland,December,3,0,0,3,2,0,0,0
405,Harwinton,December,4,0,0,4,4,0,1,1
406,Hebron,December,13,2,0,15,14,2,3,0
407,Kent,December,4,2,0,6,5,1,0,0
408,Killingly,December,144,35,0,179,144,10,12,3
409,Killingworth,December,5,2,0,7,2,1,0,0
410,Lebanon,December,13,8,0,21,21,1,1,0
411,Ledyard,December,93,12,0,105,60,4,3,2
412,Lisbon,December,12,4,0,16,6,3,0,0
413,Litchfield,December,18,3,0,21,13,2,1,1
414,Lyme,December,4,3,0,7,5,0,0,0
415,Madison,December,58,3,0,61,23,2,3,3
416,Manchester,December,404,94,4,502,187,29,45,30
417,Mansfield,December,44,3,0,47,32,1,6,4
418,Marlborough,December,7,1,0,8,7,1,0,0
419,Meriden,December,518,107,0,625,325,38,66,37
420,Middlebury,December,4,0,0,4,1,1,1,0
421,Middlefield,December,11,1,0,12,5,1,3,0
422,Middletown,December,309,47,0,356,90,28,34,19
423,Milford,December,148,20,0,168,67,8,9,4
424,Monroe,December,30,5,0,35,19,3,2,2
425,Montville,December,100,18,0,118,65,5,7,5
426,Morris,December,2,2,0,4,3,0,0,0
427,Naugatuck,December,199,20,1,220,135,13,34,20
428,New Britain,December,886,221,1,1108,292,24,122,50
429,New Canaan,December,35,3,0,38,11,1,1,1
430,New Fairfield,December,31,1,1,33,25,2,1,1
431,New Hartford,December,15,5,1,21,14,2,1,1
432,New Haven,December,3905,634,2,4541,1728,173,191,76
433,New London,December,1024,92,1,1117,118,26,41,26
434,New Milford,December,130,14,1,145,97,9,12,8
435,Newington,December,50,18,0,68,57,3,8,7
436,Newtown,December,73,4,0,77,54,5,7,2
437,Norfolk,December,4,1,0,5,4,1,1,0
438,North Branford,December,29,3,0,32,12,0,1,0
439,North Canaan,December,19,4,0,23,15,0,2,1
440,North Haven,December,41,6,0,47,14,4,2,2
441,North Stonington,December,15,4,0,19,17,0,1,0
442,Norwalk,December,1691,127,0,1818,178,18,26,16
443,Norwich,December,487,132,3,622,162,28,55,24
444,Old Lyme,December,19,1,0,20,5,1,2,1
445,Old Saybrook,December,49,2,0,51,9,2,2,1
446,Orange,December,31,5,0,36,17,1,6,5
447,Oxford,December,29,4,0,33,24,0,5,5
448,Plainfield,December,103,18,4,125,44,8,6,4
449,Plainville,December,84,13,0,97,47,4,2,0
450,Plymouth,December,67,7,0,74,27,6,10,5
451,Pomfret,December,8,7,0,15,7,0,1,0
452,Portland,December,25,8,0,33,18,5,0,0
453,Preston,December,16,6,0,22,14,2,0,0
454,Prospect,December,16,1,0,17,14,1,0,0
455,Putnam,December,102,43,2,147,73,17,9,2
456,Redding,December,22,2,0,24,16,1,0,0
457,Ridgefield,December,42,7,0,49,25,4,0,0
458,Rocky Hill,December,43,5,0,48,19,3,2,1
459,Roxbury,December,0,0,0,0,0,0,1,0
460,Salem,December,13,1,0,14,14,3,3,1
461,Salisbury,December,4,4,0,8,8,0,1,0
462,Scotland,December,2,0,0,2,1,0,0,0
463,Seymour,December,62,15,0,77,60,6,2,2
464,Sharon,December,4,1,0,5,5,0,2,2
465,Shelton,December,141,27,0,168,44,16,18,9
466,Sherman,December,3,2,0,5,5,0,0,0
467,Simsbury,December,26,4,0,30,20,3,3,1
468,Somers,December,22,5,1,28,18,1,2,1
469,South Windsor,December,39,11,1,51,25,2,7,5
470,Southbury,December,18,1,0,19,14,3,3,2
471,Southington,December,110,6,0,116,68,9,2,2
472,Sprague,December,19,12,1,32,18,1,2,1
473,Stafford,December,65,11,1,77,61,2,6,4
474,Stamford,December,2509,265,2,2776,489,52,38,15
475,Sterling,December,27,3,1,31,17,1,1,0
476,Stonington,December,84,10,0,94,42,5,4,2
477,Stratford,December,333,65,0,398,57,13,14,4
478,Suffield,December,17,4,0,21,18,0,0,0
479,Thomaston,December,6,2,0,8,5,0,2,0
480,Thompson,December,64,25,4,93,45,1,3,1
481,Tolland,December,32,2,0,34,26,0,0,0
482,Torrington,December,235,30,1,266,180,18,30,17
483,Trumbull,December,67,5,0,72,33,6,3,2
484,Union,December,2,0,0,2,2,0,0,0
485,Vernon,December,149,34,1,184,111,13,20,9
486,Voluntown,December,8,4,0,12,9,1,0,0
487,Wallingford,December,84,17,1,102,30,3,13,3
488,Warren,December,2,0,0,2,1,0,0,0
489,Washington,December,12,0,0,12,12,3,3,1
490,Waterbury,December,2160,273,7,2440,1433,138,196,66
491,Waterford,December,61,3,0,64,11,11,3,3
492,Watertown,December,38,7,0,45,34,3,10,4
493,West Hartford,December,109,18,0,127,77,8,9,5
494,West Haven,December,682,56,0,738,210,25,33,23
495,Westbrook,December,37,4,0,41,35,1,2,1
496,Weston,December,19,0,0,19,10,0,0,0
497,Westport,December,55,2,0,57,42,0,7,3
498,Wethersfield,December,49,4,0,53,42,6,1,0
499,Willington,December,21,3,0,24,21,0,2,1
500,Wilton,December,22,0,0,22,12,0,0,0
501,Winchester,December,52,8,1,61,23,9,20,8
502,Windham,December,662,143,21,826,253,15,20,7
503,Windsor,December,128,17,2,147,86,11,7,7
504,Windsor Locks,December,53,6,1,60,40,4,13,8
505,Wolcott,December,41,6,0,47,16,2,3,0
506,Woodbridge,December,19,2,0,21,9,7,1,0
507,Woodbury,December,24,6,0,30,26,0,3,3
508,Woodstock,December,18,3,2,23,16,1,1,0
509,Grand Total,December,32068,4780,108,36956,13742,1517,2011,962
510,Andover,February,4,0,0,4,2,2,3,1
511,Ansonia,February,229,35,0,264,97,20,14,6
512,Ashford,February,22,2,1,25,18,2,0,0
513,Avon,February,12,1,0,13,2,4,0,0
514,Barkhamsted,February,4,0,0,4,3,0,6,5
515,Beacon Falls,February,23,7,0,30,25,4,1,1
516,Berlin,February,27,9,2,38,36,1,6,3
517,Bethany,February,23,3,0,26,11,4,0,0
518,Bethel,February,77,10,1,88,29,0,3,2
519,Bethlehem,February,5,0,0,5,3,1,1,0
520,Bloomfield,February,89,16,0,105,47,16,27,14
521,Bolton,February,9,1,0,10,10,1,2,2
522,Bozrah,February,9,0,0,9,9,0,0,0
523,Branford,February,175,13,0,188,69,15,21,18
524,Bridgeport,February,3679,557,1,4237,622,176,214,90
525,Bridgewater,February,4,1,0,5,4,0,0,0
526,Bristol,February,405,48,0,453,122,34,70,23
527,Brookfield,February,44,1,0,45,32,3,0,0
528,Brooklyn,February,34,4,1,39,25,1,3,2
529,Burlington,February,13,5,0,18,9,3,3,3
530,Canaan,February,2,0,0,2,2,0,0,0
531,Canterbury,February,11,3,0,14,9,3,0,0
532,Canton,February,15,1,0,16,13,0,1,1
533,Chaplin,February,5,4,2,11,10,3,0,0
534,Cheshire,February,47,0,0,47,27,6,11,4
535,Chester,February,6,0,0,6,2,1,6,6
536,Clinton,February,42,4,0,46,21,2,1,0
537,Colchester,February,25,5,0,30,29,1,6,2
538,Colebrook,February,1,0,0,1,1,0,0,0
539,Columbia,February,10,2,0,12,12,0,1,0
540,Cornwall,February,1,0,0,1,1,0,7,4
541,Coventry,February,30,5,0,35,20,1,5,2
542,Cromwell,February,38,3,1,42,13,3,4,1
